slug,subject,year_group,mission_slug,lesson_slug,skill_slug,gcse_domain,difficulty_band,question_type,template,variable_schema_json,answer_expression,acceptable_answer_rules_json,hint_template,explanation_template,misconception_tags_json,source_style,calculator_allowed,is_active,sample_prompt,sample_answer,challenge_use
percent_out_of_100,maths,8-9,percentages,percent-as-out-of-100,percent-as-out-of-100,number,must,short_text,Write {p}% as a fraction out of 100.,"{""p"":[10,20,25,40,50,75]}",`${p}/100`,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Think: percent means out of 100.,"{p}% means {p} out of 100, so it is {p}/100.","[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,10%,10/100,adaptive_challenge_mode
percent_to_decimal,maths,8-9,percentages,percent-to-decimal,percent-to-decimal,number,must,short_text,Write {p}% as a decimal.,"{""p"":[5,10,25,40,50,75]}",p/100,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Divide by 100.,{p}% = {p} ÷ 100 = {answer}.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,45%,0.45,adaptive_challenge_mode
decimal_to_percent,maths,8-9,percentages,decimal-to-percent,decimal-to-percent,number,must,short_text,Write {d} as a percentage.,"{""d"":[0.1,0.2,0.25,0.4,0.5,0.75]}",d*100,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Multiply by 100.,"{d} × 100 = {answer}%, so {d} = {answer}%.","[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,0.25,25%,adaptive_challenge_mode
fraction_to_percent_common,maths,8-9,percentages,fraction-to-percent-common,fraction-to-percent-common,number,must,multiple_choice,Write {num}/{den} as a percentage.,"{""pairs"":[[1,2],[1,4],[3,4],[1,5],[2,5],[3,5]]}",num/den*100,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Convert the fraction to hundredths.,{num}/{den} = {answer}%.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,1/4,25%,adaptive_challenge_mode
ten_percent_method,maths,8-9,percentages,ten-percent-method,ten-percent-method,number,should,short_text,Find 10% of {amount}.,"{""amount"":[40,60,80,120,150,230]}",amount/10,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",10% means divide by 10.,10% of {amount} = {amount} ÷ 10 = {answer}.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,10% of 80,8,adaptive_challenge_mode
five_percent_method,maths,8-9,percentages,five-percent-method,five-percent-method,number,should,short_text,Find 5% of {amount}.,"{""amount"":[40,60,80,120,150,200]}",amount/20,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",5% is half of 10%.,10% is {amount}/10. Half of that is 5%.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,5% of 80,4,adaptive_challenge_mode
one_percent_method,maths,8-9,percentages,one-percent-method,one-percent-method,number,should,short_text,Find 1% of {amount}.,"{""amount"":[100,200,350,480,720]}",amount/100,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",1% means divide by 100.,1% of {amount} = {amount} ÷ 100 = {answer}.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,1% of 350,3.5,adaptive_challenge_mode
percentage_of_amount,maths,8-9,percentages,percentage-of-amount,percentage-of-amount,number,should,short_text,Find {p}% of {amount}.,"{""p"":[15,20,25,30,40,60],""amount"":[40,60,80,120,150,200]}",p/100*amount,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Turn the percentage into a decimal first.,{p}% = {p}/100. {p}/100 × {amount} = {answer}.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,25% of 80,20,adaptive_challenge_mode
percentage_discount,maths,8-9,percentages,percentage-discount,percentage-discount,number,could,short_text,A jacket costs £{price}. It has {p}% off. What is the sale price?,"{""price"":[40,60,80,120,150],""p"":[10,15,20,25,30]}",price*(1-p/100),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Find the discount, then subtract it.",The multiplier is 1 - {p}/100. Sale price = £{answer}.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,£80 with 25% off,£60,adaptive_challenge_mode
percentage_increase_multiplier,maths,8-9,percentages,percentage-increase-multiplier,percentage-increase-multiplier,number,could,short_text,Increase {amount} by {p}%.,"{""amount"":[40,50,80,120,200],""p"":[10,15,20,25,40]}",amount*(1+p/100),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Use 100% + increase %.,Multiplier = 1 + {p}/100. {amount} × multiplier = {answer}.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,Increase 50 by 20%,60,adaptive_challenge_mode
percentage_decrease_multiplier,maths,8-9,percentages,percentage-decrease-multiplier,percentage-decrease-multiplier,number,could,short_text,Decrease {amount} by {p}%.,"{""amount"":[40,60,80,120,200],""p"":[10,15,20,25,40]}",amount*(1-p/100),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Use 100% - decrease %.,Multiplier = 1 - {p}/100. {amount} × multiplier = {answer}.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,false,true,Decrease 80 by 25%,60,adaptive_challenge_mode
reverse_percentage_original,maths,8-9,percentages,reverse-percentage-original,reverse-percentage-original,number,gcse_bridge,short_text,"After a {p}% increase, a price is £{new_price}. What was the original price?","{""p"":[10,20,25,50],""original"":[40,60,80,100,120]}",new_price/(1+p/100),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",The new price is more than 100% of the original.,Original = new price ÷ multiplier.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,true,true,After 20% increase price is £60,£50,adaptive_challenge_mode
percentage_profit,maths,8-9,percentages,percentage-profit,percentage-profit,number,gcse_bridge,short_text,A toy is bought for £{cost} and sold for £{sale}. Work out the percentage profit.,"{""cost"":[20,40,50,80],""profit"":[5,10,20,25]}",(sale-cost)/cost*100,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Profit percentage uses the original cost.,Profit = sale - cost. Percentage profit = profit ÷ cost × 100.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,true,true,Bought £40 sold £50,25%,adaptive_challenge_mode
best_buy_percent,maths,8-9,percentages,best-buy-percent,best-buy-percent,number,gcse_bridge,multiple_choice,Shop A gives {a}% off £{priceA}. Shop B gives {b}% off £{priceB}. Which is cheaper?,"{""a"":[10,15,20],""b"":[10,20,25],""priceA"":[60,80,100],""priceB"":[65,85,105]}",compare discounted prices,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Calculate both sale prices.,"Use price × (1 - discount/100) for each shop, then compare.","[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,true,true,"A:20% off £80, B:25% off £90",A (£64) cheaper,adaptive_challenge_mode
compound_percentage_intro,maths,8-9,percentages,compound-percentage-intro,compound-percentage-intro,number,gcse_bridge,short_text,A value of {start} increases by {p}% for 2 years. What is the value after 2 years?,"{""start"":[100,200,500],""p"":[5,10,20]}",start*(1+p/100)**2,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Apply the multiplier twice.,Compound increase means multiply by the same multiplier each year.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,true,true,100 increases by 10% for 2 years,121,adaptive_challenge_mode
ratio-proportion-simplify_ratio-must,maths,8-9,ratio-proportion,simplify-ratio,simplify_ratio,number,must,short_text,Simplify the ratio {a}:{b}.,"{""pairs"":[[4,6],[6,9],[8,12],[10,15],[12,18]]}",simplified ratio,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Divide both parts by the highest common factor.,Divide both sides by the same number to keep the comparison equal.,"[""ratio_total_parts_error""]",gcse-style-original,false,true,Simplify 6:9,2:3,adaptive_challenge_mode
ratio-proportion-equivalent_ratio-must,maths,8-9,ratio-proportion,equivalent-ratio,equivalent_ratio,number,must,short_text,Complete the equivalent ratio: {a}:{b} = {ka}:__,"{""a"":[2,3,4,5],""b"":[3,4,5,6],""k"":[2,3,4]}",b*k,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Find the scale factor.,Both parts of a ratio are multiplied by the same number.,"[""ratio_total_parts_error""]",gcse-style-original,false,true,2:3 = 8:__,12,adaptive_challenge_mode
ratio-proportion-ratio_total_parts-must,maths,8-9,ratio-proportion,ratio-total-parts,ratio_total_parts,number,must,short_text,A ratio is {a}:{b}. How many parts are there altogether?,"{""a"":[1,2,3,4,5],""b"":[2,3,4,5,6]}",a+b,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Add the parts.,Total parts = {a} + {b}.,"[""ratio_total_parts_error""]",gcse-style-original,false,true,Ratio 2:3 total parts,5,adaptive_challenge_mode
ratio-proportion-share_ratio_total-should,maths,8-9,ratio-proportion,share-ratio-total,share_ratio_total,number,should,short_text,Share £{total} in the ratio {a}:{b}. What is the larger share?,"{""a"":[1,2,3,4],""b"":[2,3,5,7],""unit"":[5,10,20]}","max(a,b)*unit","{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Find one part first.,"Add the parts, divide the total by total parts, then multiply.","[""ratio_total_parts_error""]",gcse-style-original,false,true,Share £50 in 2:3 larger share,£30,adaptive_challenge_mode
ratio-proportion-share_ratio_three_parts-should,maths,8-9,ratio-proportion,share-ratio-three-parts,share_ratio_three_parts,number,should,short_text,Share {total} sweets in the ratio {a}:{b}:{c}. What does the middle person get?,"{""a"":[1,2,3],""b"":[2,3,4],""c"":[3,4,5],""unit"":[3,5,10]}",b*unit,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Add all parts, then find one part.",Middle share = {b} parts.,"[""ratio_total_parts_error""]",gcse-style-original,false,true,Share 45 in 2:3:4 middle share,15,adaptive_challenge_mode
ratio-proportion-ratio_missing_part-should,maths,8-9,ratio-proportion,ratio-missing-part,ratio_missing_part,number,should,short_text,The ratio red:blue is {a}:{b}. There are {red} red counters. How many blue counters are there?,"{""a"":[2,3,4,5],""b"":[3,4,5,7],""k"":[4,5,6]}",b*k,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Find the multiplier from red counters.,"If {a} parts = {red}, then one part = {red}/{a}.","[""ratio_total_parts_error""]",gcse-style-original,false,true,"Ratio 2:3, red=10",15,adaptive_challenge_mode
ratio-proportion-ratio_difference_given-could,maths,8-9,ratio-proportion,ratio-difference-given,ratio_difference_given,number,could,short_text,The ratio cats:dogs is {a}:{b}. There are {diff} more dogs than cats. How many dogs are there?,"{""a"":[2,3,4],""b"":[5,7,9],""unit"":[4,5,6]}",b*unit,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",The difference in parts matches the difference in animals.,"{b}-{a} parts = {diff}, so find one part then dogs.","[""ratio_total_parts_error""]",gcse-style-original,false,true,"Cats:dogs 3:5, 12 more dogs",30,adaptive_challenge_mode
ratio-proportion-ratio_recipe_scale_up-should,maths,8-9,ratio-proportion,ratio-recipe-scale-up,ratio_recipe_scale_up,number,should,short_text,A recipe uses {a} cups of flour for {b} cups of sugar. How much sugar is needed for {flour} cups of flour?,"{""a"":[2,3,4],""b"":[1,2,3],""k"":[2,3,4]}",b*k,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Scale both quantities by the same factor.,"Find how many times bigger the flour amount is, then scale sugar.","[""ratio_total_parts_error""]",gcse-style-original,false,true,"2 flour:1 sugar, 8 flour",4 cups,adaptive_challenge_mode
ratio-proportion-unit_rate-should,maths,8-9,ratio-proportion,unit-rate,unit_rate,number,should,short_text,{items} notebooks cost £{cost}. What is the cost of 1 notebook?,"{""items"":[3,4,5,6],""unit"":[2,3,4]}",unit,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Divide total cost by number of items.,Unit rate means cost per one item.,[],gcse-style-original,false,true,4 notebooks cost £12,£3,adaptive_challenge_mode
ratio-proportion-best_value_ratio-gcse_bridge,maths,8-9,ratio-proportion,best-value-ratio,best_value_ratio,number,gcse_bridge,multiple_choice,Pack A has {a_items} for £{a_cost}. Pack B has {b_items} for £{b_cost}. Which is better value?,"{""a_items"":[4,5,6],""b_items"":[6,8,10],""unitA"":[2,3],""unitB"":[2,3]}",compare unit rates,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Compare cost per item.,Divide price by quantity for each pack. Lower unit price is better.,"[""ratio_total_parts_error""]",gcse-style-original,true,true,"A 4 for £8, B 6 for £9",B,adaptive_challenge_mode
ratio-proportion-direct_proportion_table-could,maths,8-9,ratio-proportion,direct-proportion-table,direct_proportion_table,number,could,short_text,"y is directly proportional to x. When x = {x1}, y = {y1}. Find y when x = {x2}.","{""x1"":[2,3,4,5],""k"":[3,4,5],""x2"":[6,8,10,12]}",k*x2,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Find the multiplier k.,Direct proportion means y = kx.,[],gcse-style-original,false,true,"x=3,y=12. Find y when x=8",32,adaptive_challenge_mode
ratio-proportion-scale_drawing-could,maths,8-9,ratio-proportion,scale-drawing,scale_drawing,number,could,short_text,A map scale is 1 cm : {scale} km. Two towns are {cm} cm apart on the map. How far apart are they in real life?,"{""scale"":[2,5,10],""cm"":[3,4,6,8]}",scale*cm,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Multiply by the scale.,Each centimetre represents {scale} km.,[],gcse-style-original,false,true,"Scale 1cm:5km, 6cm",30 km,adaptive_challenge_mode
ratio-proportion-ratio_with_percent-gcse_bridge,maths,8-9,ratio-proportion,ratio-with-percent,ratio_with_percent,number,gcse_bridge,short_text,A class has boys:girls in the ratio {a}:{b}. What percentage of the class are girls?,"{""a"":[2,3,4],""b"":[3,5,6]}",b/(a+b)*100,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Girls are part of the total.,Total parts = {a}+{b}. Girl fraction = {b}/total.,"[""divide_by_100_error"", ""multiplier_error""]",gcse-style-original,true,true,Boys:girls 2:3,60%,adaptive_challenge_mode
ratio-proportion-multi_step_ratio_total-gcse_bridge,maths,8-9,ratio-proportion,multi-step-ratio-total,multi_step_ratio_total,number,gcse_bridge,short_text,"Ali, Ben and Cara share money in the ratio {a}:{b}:{c}. Cara gets £{cara}. How much money is shared altogether?","{""a"":[1,2,3],""b"":[2,3,4],""c"":[4,5,6],""unit"":[5,10,20]}",(a+b+c)*unit,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Use Cara to find one part.,"Cara has {c} parts. Divide Cara amount by {c}, then multiply by total parts.","[""ratio_total_parts_error""]",gcse-style-original,true,true,"1:2:5, Cara £50",£80,adaptive_challenge_mode
ratio-proportion-inverse_proportion_intro-gcse_bridge,maths,8-9,ratio-proportion,inverse-proportion-intro,inverse_proportion_intro,number,gcse_bridge,short_text,{workers} workers take {days} days to finish a job. How long would {new_workers} workers take at the same rate?,"{""workers"":[2,3,4],""days"":[6,8,12],""new_workers"":[4,6,8]}",workers*days/new_workers,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",More workers means fewer days.,Total worker-days stays the same.,[],gcse-style-original,true,true,4 workers take 6 days. 8 workers?,3 days,adaptive_challenge_mode
straight-line-graphs-read_coordinates-must,maths,8-9,straight-line-graphs,read-coordinates,read_coordinates,algebra,must,short_text,What are the coordinates of point A if it is {x} across and {y} up?,"{""x"":[1,2,3,4,5],""y"":[1,2,3,4,5]}","`(${x}, ${y})`","{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Coordinates are written (x, y).","Go across first, then up/down.",[],gcse-style-original,false,true,"3 across, 4 up","(3,4)",adaptive_challenge_mode
straight-line-graphs-plot_coordinates-must,maths,8-9,straight-line-graphs,plot-coordinates,plot_coordinates,algebra,must,multiple_choice,"Which point is at ({x}, {y})?","{""x"":[-2,-1,1,2,3],""y"":[-3,-1,1,2,4]}",matching coordinate,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Remember x first, y second.",The first number tells horizontal position; second tells vertical.,[],gcse-style-original,false,true,"Point (2,-3)","x=2,y=-3",adaptive_challenge_mode
straight-line-graphs-gradient_counting-must,maths,8-9,straight-line-graphs,gradient-counting,gradient_counting,algebra,must,short_text,A line goes up {rise} and across {run}. What is its gradient?,"{""rise"":[1,2,3,4,6],""run"":[1,2,3]}",rise/run,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Gradient = rise ÷ run.,Gradient tells steepness: up divided by across.,[],gcse-style-original,false,true,"Up 4, across 2",2,adaptive_challenge_mode
straight-line-graphs-gradient_negative-should,maths,8-9,straight-line-graphs,gradient-negative,gradient_negative,algebra,should,short_text,A line goes down {fall} and across {run}. What is its gradient?,"{""fall"":[1,2,3,4],""run"":[1,2,4]}",-fall/run,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",A line going down has negative gradient.,Gradient is negative because the line slopes down left to right.,[],gcse-style-original,false,true,"Down 3, across 1",-3,adaptive_challenge_mode
straight-line-graphs-y_intercept_from_equation-must,maths,8-9,straight-line-graphs,y-intercept-from-equation,y_intercept_from_equation,algebra,must,short_text,What is the y-intercept of y = {m}x + {c}?,"{""m"":[1,2,3,4,-1,-2],""c"":[1,2,3,4,5,-2]}",c,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","In y = mx + c, c is the y-intercept.",The line crosses the y-axis at c.,[],gcse-style-original,false,true,y=4x+3,3,adaptive_challenge_mode
straight-line-graphs-gradient_from_equation-should,maths,8-9,straight-line-graphs,gradient-from-equation,gradient_from_equation,algebra,should,short_text,What is the gradient of y = {m}x + {c}?,"{""m"":[1,2,3,4,-1,-2],""c"":[1,2,3,4]}",m,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","In y = mx + c, m is the gradient.",The coefficient of x is the gradient.,[],gcse-style-original,false,true,y=2x+5,2,adaptive_challenge_mode
straight-line-graphs-complete_table_linear-should,maths,8-9,straight-line-graphs,complete-table-linear,complete_table_linear,algebra,should,short_text,"For y = {m}x + {c}, find y when x = {x}.","{""m"":[2,3,4,-1],""c"":[1,2,3,5],""x"":[0,1,2,3]}",m*x+c,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Substitute x into the equation.,"Replace x with {x}, then calculate.",[],gcse-style-original,false,true,"y=2x+3, x=4",11,adaptive_challenge_mode
straight-line-graphs-identify_equation_from_gradient_intercept-could,maths,8-9,straight-line-graphs,identify-equation-from-gradient-intercept,identify_equation_from_gradient_intercept,algebra,could,short_text,A line has gradient {m} and y-intercept {c}. Write its equation.,"{""m"":[1,2,3,-1,-2],""c"":[1,2,3,4,-3]}",`y = ${m}x + ${c}`,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Use y = mx + c.,Put the gradient in place of m and intercept in place of c.,[],gcse-style-original,false,true,"gradient 2, intercept 3",y=2x+3,adaptive_challenge_mode
straight-line-graphs-parallel_lines_gradient-could,maths,8-9,straight-line-graphs,parallel-lines-gradient,parallel_lines_gradient,algebra,could,short_text,A line is parallel to y = {m}x + {c}. What is its gradient?,"{""m"":[1,2,3,-1,-2],""c"":[1,2,3,4]}",m,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Parallel lines have the same gradient.,Same steepness means same gradient.,[],gcse-style-original,false,true,Parallel to y=3x+2,3,adaptive_challenge_mode
straight-line-graphs-gradient_between_points-could,maths,8-9,straight-line-graphs,gradient-between-points,gradient_between_points,algebra,could,short_text,"Find the gradient between ({x1},{y1}) and ({x2},{y2}).","{""x1"":[0,1,2],""y1"":[1,2,3],""dx"":[1,2,3,4],""dy"":[2,4,6,8]}",dy/dx,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Gradient = change in y ÷ change in x.,Find rise over run between the two points.,[],gcse-style-original,false,true,"(1,2) to (3,6)",2,adaptive_challenge_mode
straight-line-graphs-distance_time_reading-must,maths,8-9,straight-line-graphs,distance-time-reading,distance_time_reading,algebra,must,short_text,"On a distance-time graph, the distance at {time} minutes is {dist} m. How far has the person travelled?","{""time"":[10,15,20,30],""dist"":[500,1000,1500,2000]}",dist,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Read the vertical value.,Distance is read from the y-axis.,[],gcse-style-original,false,true,At 20 min graph shows 1500m,1500 m,adaptive_challenge_mode
straight-line-graphs-distance_time_stop-should,maths,8-9,straight-line-graphs,distance-time-stop,distance_time_stop,algebra,should,short_text,"On a distance-time graph, a horizontal line lasts from {t1} to {t2} minutes. How long was the stop?","{""t1"":[10,20,30],""duration"":[5,10,15,20]}",duration,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Horizontal means no change in distance.,Stop time is the difference between times.,[],gcse-style-original,false,true,Horizontal from 20 to 35 min,15 minutes,adaptive_challenge_mode
straight-line-graphs-distance_time_speed-could,maths,8-9,straight-line-graphs,distance-time-speed,distance_time_speed,algebra,could,short_text,A cyclist travels {dist} km in {time} hours. Find the average speed in km/h.,"{""dist"":[6,8,12,15],""time"":[0.5,1,1.5,2]}",dist/time,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Speed = distance ÷ time.,Divide kilometres by hours.,[],gcse-style-original,false,true,12 km in 1.5 hours,8 km/h,adaptive_challenge_mode
straight-line-graphs-distance_time_return_journey-gcse_bridge,maths,8-9,straight-line-graphs,distance-time-return-journey,distance_time_return_journey,algebra,gcse_bridge,short_text,"A runner goes {dist} km from home in {out_time} minutes, rests for {rest} minutes, then returns in {back_time} minutes. How long is the whole journey?","{""dist"":[2,3,4],""out_time"":[20,30,40],""rest"":[10,15,20],""back_time"":[20,25,30]}",out_time+rest+back_time,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Add travel and rest times.,"Whole journey includes outward time, rest time and return time.",[],gcse-style-original,true,true,"30 min out, 15 rest, 25 back",70 minutes,adaptive_challenge_mode
straight-line-graphs-line_graph_context-gcse_bridge,maths,8-9,straight-line-graphs,line-graph-context,line_graph_context,algebra,gcse_bridge,short_text,"A taxi fare is y = {m}x + {c}, where x is miles. What is the fare for {x} miles?","{""m"":[2,3,4],""c"":[3,4,5],""x"":[4,6,8]}",m*x+c,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Substitute miles into x.,Calculate fixed charge plus cost per mile.,[],gcse-style-original,true,true,y=3x+4 for 6 miles,£22,adaptive_challenge_mode
